stream,phase,window,mode,cap,lr,w_max,true_blowup,new_div,L_ratio,P_ratio,jane_div,new_div_k5,new_div_k10,new_div_k20
jane,half,1,snomd,32.0,1.0,17.743792044270222,false,true,11.510437275691315,37.21631585964619,true,true,true,true
jane,half,1,snomd,0.5,2.0,1.2578853117378768,false,false,0.7684551260353227,0.7699534495457478,false,false,false,false
jane,half,1,snomd,2.0,2.0,3.7038266927005217,false,false,0.889910124314484,1.6001999195948091,false,false,false,false
jane,half,1,snomd,8.0,2.0,14.011618605208957,false,true,3.9425043114589835,14.000392129063695,true,true,true,true
jane,half,1,snomd,32.0,2.0,52.29007018750595,false,true,103.40490354206257,306.20541483083406,true,true,true,true
jane,half,1,snomd,0.5,4.0,2.366944262463061,false,false,0.8250441937239978,1.0998087147393936,false,false,false,false
jane,half,1,snomd,2.0,4.0,7.758113815266171,false,false,1.5874071129839578,4.4081251591301465,false,false,false,false
jane,half,1,snomd,8.0,4.0,32.153319337174665,false,true,14.860601789025075,58.21836473431906,true,true,true,true
jane,half,1,snomd,32.0,4.0,123.3244814636931,false,true,541.269434460413,1564.3949512128793,true,true,true,true
jane,half,1,snomd,0.5,8.0,4.733888524926122,false,false,1.1632486011694714,2.4589475126410028,false,false,false,false
jane,half,1,snomd,2.0,8.0,16.842098895423486,false,true,4.523758887977233,15.99533548117354,true,true,true,true
jane,half,1,snomd,8.0,8.0,66.34385714796153,false,true,57.35889981013431,230.75453190714475,true,true,true,true
jane,half,1,snomd,32.0,8.0,267.1059359262743,false,true,2446.9013837404127,6735.271190793735,true,true,true,true
jane,half,2,snomd,0.5,0.5,0.6371188122951913,false,false,0.8337841677558127,0.7401871184966711,false,false,false,false
jane,half,2,snomd,2.0,0.5,1.0583065802941023,false,false,0.7365209904591813,0.6124049534351276,false,false,false,false
jane,half,2,snomd,8.0,0.5,4.02830470032778,false,false,0.8239510066599898,0.5938659739849896,false,false,false,false
jane,half,2,snomd,32.0,0.5,16.02780968407729,false,true,6.637192376422232,10.696700445667352,true,true,true,true
jane,half,2,snomd,0.5,1.0,0.88704919899826,false,false,0.7844964943076017,0.6575374462320737,false,false,false,false
jane,half,2,snomd,2.0,1.0,2.1315177332001487,false,false,0.7017656290909163,0.5454254330882481,false,false,false,false
jane,half,2,snomd,8.0,1.0,8.38983591601836,false,false,1.0671922668920257,1.4773932971215347,false,false,false,false
jane,half,2,snomd,32.0,1.0,33.25660373522534,false,true,21.19309525232876,37.9713919640993,true,true,true,true
jane,half,2,snomd,0.5,2.0,1.3547725862804025,false,false,0.748822090151642,0.5911555962058925,false,false,false,false
jane,half,2,snomd,2.0,2.0,4.529664499106138,false,false,0.7444494978308515,0.5755983296527352,false,false,false,false
jane,half,2,snomd,8.0,2.0,16.830985069302656,false,true,2.098186261466387,4.963453887242161,true,true,true,true
jane,half,2,snomd,32.0,2.0,66.56819411268911,false,true,66.78882445839471,125.08503804881232,true,true,true,true
jane,half,2,snomd,0.5,4.0,2.688216015103529,false,false,0.7591911721398528,0.5351081933885377,false,false,false,false
jane,half,2,snomd,2.0,4.0,9.43915225098391,false,false,1.0781074815767744,1.7417791250971333,false,false,false,false
jane,half,2,snomd,8.0,4.0,34.128451405151985,false,true,6.057530975322413,18.187251928082773,true,true,true,true
jane,half,2,snomd,32.0,4.0,135.01901995803627,false,true,232.02823099761937,435.7034663047631,true,true,true,true
jane,half,2,snomd,0.5,8.0,5.090775407254427,false,false,0.919018378597355,1.029718569953493,false,false,false,false
jane,half,2,snomd,2.0,8.0,18.961619152433144,false,true,2.4999894538431846,6.417238974155085,true,true,true,true
jane,half,2,snomd,8.0,8.0,70.00507324191415,false,true,23.271725932819038,75.44866065060644,true,true,true,true
jane,half,2,snomd,32.0,8.0,276.5743409748195,false,true,971.0201645373542,1777.3015559177227,true,true,true,true
crypto,full,0,snomd,0.5,0.5,0.28555445192373063,false,false,0.9986693816471358,0.9996845928093393,false,false,false,false
crypto,full,0,snomd,2.0,0.5,0.49999999999999994,false,false,1.00691492915125,1.006744687540084,false,false,false,false
crypto,full,0,snomd,8.0,0.5,0.5268541038374372,false,false,1.0099033876431047,1.0062278394022348,false,false,false,false
crypto,full,0,snomd,32.0,0.5,0.5440446731497389,false,false,1.0120057218264893,1.0098573877644135,false,false,false,false
crypto,full,0,snomd,0.5,1.0,0.5000000000000001,false,false,1.004262127368107,1.0059305978810347,false,false,false,false
crypto,full,0,snomd,2.0,1.0,0.9999999999999999,false,false,1.0196197284623087,1.0150850956972692,false,false,false,false
crypto,full,0,snomd,8.0,1.0,0.9999999999999999,false,false,1.0296771276182572,1.019901058322068,false,false,false,false
crypto,full,0,snomd,32.0,1.0,0.9999999999999999,false,false,1.0335244229983043,1.0237171542402659,false,false,false,false
crypto,full,0,snomd,0.5,2.0,1.0000000000000002,false,false,1.0147066991939881,1.0143456638682216,false,false,false,false
crypto,full,0,snomd,2.0,2.0,1.9999999999999998,false,false,1.0522086604816756,1.0301313376210413,false,false,false,false
crypto,full,0,snomd,8.0,2.0,1.9999999999999998,false,false,1.07920045495132,1.0554479711169502,false,false,false,false
crypto,full,0,snomd,32.0,2.0,1.9999999999999998,false,false,1.0858292768467577,1.0579723891944035,false,false,false,false
crypto,full,0,snomd,0.5,4.0,2.1448496670298876,false,false,1.0436420627215892,1.0317662865162256,false,false,false,false
crypto,full,0,snomd,2.0,4.0,4.577020425918854,false,false,1.1700430050765669,1.0685482484336692,false,false,false,false
crypto,full,0,snomd,8.0,4.0,4.577020425918854,false,false,1.229328841547771,1.1437243195002151,false,false,false,false
crypto,full,0,snomd,32.0,4.0,4.577020425918854,false,false,1.2435987937038968,1.1433033146499936,false,false,false,false
crypto,full,0,snomd,0.5,8.0,4.387333952953982,false,false,1.1306830345219203,1.061568568626365,false,false,false,false
